Period,LoanID,CustomerName,Product,Branch,Stage,Outstanding_Cr,Provision_Cr,DPD,Secured_Value_Cr,Loss_Flag
Q3FY25,L0001,Sharma Textiles,Business Loan,Ahmedabad,Stage 1,3.35,0.043,0,2.51,N
Q3FY25,L0002,Patel Engineering,Equipment Finance,Indore,Stage 1,2.21,0.025,0,0.0,N
Q3FY25,L0003,Verma Logistics,LAP,Ahmedabad,Stage 1,3.23,0.044,0,2.42,N
Q3FY25,L0004,Iyer Foods,LAP,Pune,Stage 1,0.87,0.012,0,0.48,N
Q3FY25,L0005,Nair Constructions,LAP,Mumbai,Stage 3,5.67,3.521,174,4.25,N
Q3FY25,L0006,Reddy Agro,Equipment Finance,Pune,Stage 1,6.05,0.038,0,0.0,N
Q3FY25,L0008,Desai Pharma,Business Loan,Indore,Stage 1,2.38,0.014,0,2.14,N
Q3FY25,L0009,Bose Electricals,Equipment Finance,Ahmedabad,Stage 1,4.6,0.02,0,3.45,N
Q3FY25,L0010,Menon Traders,Business Loan,Pune,Stage 2,2.15,0.358,84,1.18,N
Q3FY25,L0011,Joshi Auto Parts,Working Capital,Ahmedabad,Stage 1,3.67,0.024,28,2.75,N
Q3FY25,L0012,Gupta Packaging,Working Capital,Ahmedabad,Stage 1,2.75,0.027,0,1.51,N
Q3FY25,L0013,Rao Chemicals,Equipment Finance,Ahmedabad,Stage 1,4.79,0.027,0,3.59,N
Q3FY25,L0014,Shetty Hospitality,Equipment Finance,Ahmedabad,Stage 1,5.88,0.078,10,0.0,N
Q3FY25,L0015,Pillai Marine,LAP,Indore,Stage 3,5.5,3.599,153,1.92,N
Q3FY25,L0016,Chauhan Motors,Working Capital,Mumbai,Stage 1,3.93,0.048,0,0.0,N
Q3FY25,L0017,Bhatt Ceramics,LAP,Mumbai,Stage 1,1.28,0.008,0,0.0,N
Q3FY25,L0018,Sinha Plastics,Business Loan,Indore,Stage 3,5.91,2.808,122,4.43,N
Q3FY25,L0019,Kapoor Garments,Business Loan,Nagpur,Stage 1,0.48,0.006,0,0.17,N
Q3FY25,L0020,Mehta Hardware,Business Loan,Ahmedabad,Stage 3,2.06,1.37,113,1.13,N
Q3FY25,L0021,Rana Cold Storage,LAP,Ahmedabad,Stage 1,1.94,0.022,0,1.46,N
Q3FY25,L0022,Dutta Printers,LAP,Indore,Stage 2,4.28,0.634,34,3.85,N
Q3FY25,L0023,Sethi Furniture,Equipment Finance,Mumbai,Stage 1,3.19,0.022,0,1.75,N
Q3FY25,L0024,Bansal Wires,Business Loan,Pune,Stage 3,0.88,0.48,465,0.48,N
Q3FY25,L0025,Thakur Transport,LAP,Pune,Stage 1,0.41,0.005,0,0.23,N
Q3FY25,L0026,Ghosh Seafoods,LAP,Ahmedabad,Stage 1,3.9,0.052,0,0.0,N
Q3FY25,L0027,Malhotra Tools,Business Loan,Indore,Stage 1,3.21,0.019,0,2.41,N
Q3FY25,L0028,Naidu Poultry,LAP,Ahmedabad,Stage 1,3.87,0.031,0,2.9,N
Q3FY25,L0029,Chopra Interiors,LAP,Nagpur,Stage 1,3.56,0.022,0,1.96,N
Q3FY25,L0030,Saxena Cables,Business Loan,Ahmedabad,Stage 1,5.58,0.044,0,4.19,N
Q3FY25,L0031,Deshmukh Dairy,Business Loan,Mumbai,Stage 1,5.61,0.069,30,5.05,N
Q3FY25,L0032,Ahuja Footwear,Working Capital,Indore,Stage 1,1.43,0.012,0,1.07,N
Q3FY25,L0033,Trivedi Tiles,Equipment Finance,Indore,Stage 1,5.76,0.076,0,4.32,N
Q3FY25,L0034,Barman Timber,Equipment Finance,Ahmedabad,Stage 1,4.98,0.064,0,4.48,N
Q3FY25,L0035,Lal Fasteners,Business Loan,Nagpur,Stage 3,4.05,2.152,193,1.42,N
Q3FY25,L0036,Karthik Solar,Working Capital,Ahmedabad,Stage 2,4.11,0.504,63,3.08,N
Q3FY25,L0037,Prasad Mills,LAP,Indore,Stage 1,3.56,0.024,0,2.67,N
Q3FY25,L0038,Fernandes Spices,LAP,Mumbai,Stage 1,5.72,0.067,0,4.29,N
