Period,LoanID,CustomerName,Product,Branch,Stage,Outstanding_Cr,Provision_Cr,DPD,Secured_Value_Cr,Loss_Flag
Q4FY26,L0001,Sharma Textiles,Business Loan,Ahmedabad,Stage 1,3.0,0.024,0,2.25,N
Q4FY26,L0002,Patel Engineering,Equipment Finance,Indore,Stage 3,2.01,1.15,186,0.0,N
Q4FY26,L0003,Verma Logistics,LAP,Ahmedabad,Stage 3,2.94,1.866,94,2.21,N
Q4FY26,L0004,Iyer Foods,LAP,Pune,Stage 1,0.77,0.008,0,0.42,N
Q4FY26,L0005,Nair Constructions,LAP,Mumbai,Stage 3,4.98,2.482,163,3.74,N
Q4FY26,L0006,Reddy Agro,Equipment Finance,Pune,Stage 1,5.38,0.031,20,0.0,N
Q4FY26,L0008,Desai Pharma,Business Loan,Indore,Stage 3,2.15,1.512,133,1.94,N
Q4FY26,L0009,Bose Electricals,Equipment Finance,Ahmedabad,Stage 1,4.1,0.042,3,3.07,N
Q4FY26,L0010,Menon Traders,Business Loan,Pune,Stage 2,1.92,0.339,87,1.06,N
Q4FY26,L0011,Joshi Auto Parts,Working Capital,Ahmedabad,Stage 1,3.28,0.031,0,2.46,N
Q4FY26,L0012,Gupta Packaging,Working Capital,Ahmedabad,Stage 1,2.45,0.013,0,1.35,N
Q4FY26,L0013,Rao Chemicals,Equipment Finance,Ahmedabad,Stage 1,4.32,0.04,0,3.24,N
Q4FY26,L0014,Shetty Hospitality,Equipment Finance,Ahmedabad,Stage 1,5.27,0.073,0,0.0,N
Q4FY26,L0015,Pillai Marine,LAP,Indore,Stage 2,4.94,0.542,56,1.73,N
Q4FY26,L0016,Chauhan Motors,Working Capital,Mumbai,Stage 1,3.52,0.039,0,0.0,N
Q4FY26,L0017,Bhatt Ceramics,LAP,Mumbai,Stage 1,1.15,0.009,28,0.0,N
Q4FY26,L0018,Sinha Plastics,Business Loan,Indore,Stage 1,5.16,0.025,13,3.87,N
Q4FY26,L0019,Kapoor Garments,Business Loan,Nagpur,Stage 1,0.42,0.006,0,0.15,N
Q4FY26,L0020,Mehta Hardware,Business Loan,Ahmedabad,Stage 3,1.86,0.843,249,1.02,N
Q4FY26,L0022,Dutta Printers,LAP,Indore,Stage 1,3.77,0.041,0,3.39,N
Q4FY26,L0023,Sethi Furniture,Equipment Finance,Mumbai,Stage 1,2.88,0.028,0,1.58,N
Q4FY26,L0024,Bansal Wires,Business Loan,Pune,Stage 3,0.77,0.403,235,0.42,N
Q4FY26,L0025,Thakur Transport,LAP,Pune,Stage 1,0.37,0.003,0,0.2,N
Q4FY26,L0026,Ghosh Seafoods,LAP,Ahmedabad,Stage 1,3.48,0.04,0,0.0,N
Q4FY26,L0027,Malhotra Tools,Business Loan,Indore,Stage 2,2.85,0.464,74,2.14,N
Q4FY26,L0028,Naidu Poultry,LAP,Ahmedabad,Stage 1,3.39,0.039,0,2.54,N
Q4FY26,L0029,Chopra Interiors,LAP,Nagpur,Stage 1,3.28,0.019,7,1.8,N
Q4FY26,L0030,Saxena Cables,Business Loan,Ahmedabad,Stage 1,4.92,0.031,0,3.69,N
Q4FY26,L0031,Deshmukh Dairy,Business Loan,Mumbai,Stage 1,5.03,0.043,0,4.53,N
Q4FY26,L0032,Ahuja Footwear,Working Capital,Indore,Stage 3,1.29,0.864,249,0.97,N
Q4FY26,L0033,Trivedi Tiles,Equipment Finance,Indore,Stage 1,5.2,0.068,0,3.9,N
Q4FY26,L0035,Lal Fasteners,Business Loan,Nagpur,Stage 3,3.62,1.736,214,1.27,N
Q4FY26,L0036,Karthik Solar,Working Capital,Ahmedabad,Stage 3,3.74,1.872,296,2.81,N
Q4FY26,L0037,Prasad Mills,LAP,Indore,Stage 1,3.16,0.017,0,2.37,N
Q4FY26,L0038,Fernandes Spices,LAP,Mumbai,Stage 1,5.08,0.038,0,3.81,N
Q4FY26,L0039,Wadhwa Paints,Working Capital,Mumbai,Stage 1,1.51,0.021,0,0.83,N
Q4FY26,L0040,Roy Bearings,Business Loan,Indore,Stage 1,3.4,0.028,0,2.55,N
